"State","Total","White","Black","Native","Asian","Islander","OtherRace","TwoOrMoreRaces"
"Alabama",4864680,3317453,1293186,25576,64609,2182,70055,91619
"Alaska",738516,478834,24129,106660,46556,8849,11027,62461
"Arizona",6946685,5364141,305259,309580,228887,14112,471823,252883
"Arkansas",2990671,2302874,460970,20037,43988,7969,78981,75852
"California",39148760,23529068,2267875,296475,5604339,153366,5415410,1882227
"Colorado",5531141,4655584,227938,54483,172695,8296,214817,197328
"Connecticut",3581504,2734880,378262,9698,158817,1173,185244,113430
"Delaware",949495,654905,209892,3455,36723,477,18034,26009
"District of Columbia",684498,280469,321317,1993,26718,340,33518,20143
"Florida",20598139,15529098,3316376,58118,559168,12887,580152,542340
"Georgia",10297484,6079976,3239300,33484,402501,6095,283680,252448
"Hawaii",1422029,355612,26266,2987,536842,143274,15292,341756
"Idaho",1687809,1527262,11536,22790,23758,2761,53110,46592
"Illinois",12821497,9189185,1824125,31864,690822,4582,762506,318413
"Indiana",6637426,5548277,619472,14925,144991,2818,144648,162295
"Iowa",3132499,2827889,109911,11549,75083,3129,39168,65770
"Kansas",2908776,2460619,169801,24050,83531,2143,67588,101044
"Kentucky",4440204,3866676,354112,9888,62802,2814,44086,99826
"Louisiana",4663616,2901106,1502916,26272,79872,1468,60419,91563
"Maine",1332813,1259217,17881,8302,14917,318,2970,29208
"Maryland",6003435,3373181,1788090,15644,374277,3059,249815,199369
"Massachusetts",6830193,5360006,510558,14493,442574,2329,284740,215493
"Michigan",9957488,7818588,1375424,53235,304403,2979,119141,283718
"Minnesota",5527358,4606044,342186,58982,262359,2187,97833,157767
"Mississippi",2988762,1751193,1125834,13689,28313,707,28833,40193
"Missouri",6090062,5008342,704896,26952,116720,6662,71162,155328
"Montana",1041732,925642,4630,67289,7947,757,6032,29435
"Nebraska",1904760,1666463,90860,17282,44105,1392,36058,48600
"Nevada",2922849,1935103,261123,35845,234693,19352,296234,140499
"New Hampshire",1343622,1250014,20516,2090,36124,359,6629,27890
"New Jersey",8881845,6031747,1196764,18649,832403,3357,567976,230949
"New Mexico",2092434,1558886,43006,199896,31513,1514,190111,67508
"New York",19618453,12514949,3068099,79644,1630341,8017,1718220,599183
"North Carolina",10155624,6994240,2179622,121352,282264,6939,307906,263301
"North Dakota",752201,655268,20445,39462,10814,378,7528,18306
"Ohio",11641879,9489832,1438271,23563,249741,3591,109792,327089
"Oklahoma",3918137,2837772,287959,294676,83392,4471,106757,303110
"Oregon",4081943,3445933,77789,46961,174510,16006,127084,193660
"Pennsylvania",12791181,10341442,1423319,24847,427892,4107,258694,310880
"Rhode Island",1056611,854502,69254,5484,35663,863,58136,32709
"South Carolina",4955925,3332986,1339360,16686,75084,3004,78597,110208
"South Dakota",864289,730062,16241,75331,12660,293,6613,23089
"Tennessee",6651089,5166231,1117489,17848,112915,3806,90666,142134
"Texas",27885195,20720689,3365783,136061,1308257,23672,1600234,730499
"Utah",3045350,2632056,35862,32657,69810,27096,157990,89879
"Vermont",624977,589546,8058,2106,10579,184,2426,12078
"Virginia",8413774,5722660,1613285,22972,531503,5677,208464,309213
"Washington",7294336,5545997,269854,95048,607429,48043,311170,416795
"West Virginia",1829054,1704345,66728,3668,14534,350,7290,32139
"Wisconsin",5778394,4945966,368744,50422,159356,1975,115941,135990
"Wyoming",581836,532008,5540,14053,4756,539,9361,15579